customer_id, number_of_items, cash_or_credit
0, 12, CREDIT
1, 29, CREDIT
2, 8, CASH
3, 18, CASH
4, 25, CREDIT
5, 10, CREDIT
6, 7, CREDIT
7, 14, CREDIT
8, 20, CREDIT
9, 16, CASH
10, 23, CREDIT
11, 6, CREDIT
12, 30, CREDIT
13, 9, CREDIT
14, 22, CREDIT
15, 5, CREDIT
16, 11, CREDIT
17, 27, CREDIT
18, 13, CASH
19, 17, CREDIT
20, 21, CREDIT
21, 24, CREDIT
22, 31, CREDIT
23, 15, CREDIT
24, 2, CREDIT
25, 4, CREDIT
26, 3, CREDIT
27, 19, CREDIT
28, 26, CREDIT
29, 28, CASH
30, 32, CREDIT
31, 36, CREDIT
32, 1, CREDIT
33, 33, CREDIT
34, 35, CREDIT
35, 34, CREDIT
36, 40, CREDIT
37, 39, CREDIT
38, 38, CREDIT
39, 37, CASH
40, 41, CREDIT
41, 42, CASH
42, 43, CREDIT
43, 44, CREDIT
44, 45, CREDIT
45, 46, CREDIT
46, 47, CREDIT
47, 48, CREDIT
48, 49, CASH
49, 50, CASH
50, 51, CREDIT
51, 52, CREDIT
52, 53, CREDIT
53, 54, CREDIT
54, 55, CREDIT
55, 56, CREDIT
56, 57, CREDIT
57, 58, CASH
58, 59, CREDIT
59, 60, CREDIT
60, 61, CREDIT
61, 62, CREDIT
62, 63, CREDIT
63, 64, CREDIT
64, 65, CREDIT
