customer_id, number_of_items, cash_or_credit
0, 15, CREDIT
1, 9, CREDIT
2, 28, CREDIT
3, 12, CREDIT
4, 5, CREDIT
5, 20, CASH
6, 16, CREDIT
7, 7, CREDIT
8, 22, CASH
9, 11, CREDIT
10, 14, CREDIT
11, 18, CREDIT
12, 25, CREDIT
13, 10, CREDIT
14, 8, CREDIT
15, 19, CREDIT
16, 13, CREDIT
17, 30, CREDIT
18, 27, CASH
19, 24, CREDIT
20, 21, CREDIT
21, 6, CREDIT
22, 17, CREDIT
23, 23, CREDIT
24, 4, CREDIT
25, 26, CREDIT
26, 3, CASH
27, 29, CREDIT
28, 2, CREDIT
29, 31, CREDIT
30, 1, CREDIT
31, 33, CREDIT
32, 32, CREDIT
33, 34, CREDIT
34, 36, CREDIT
